6995265.0,5233001.0,7.17,47.5
61747.0,5392085.0,7.38,0.41
4680421.0,2473485.0,7.84,12.57
238374.0,3943771.0,2.87,7.6
5381892.0,2092988.0,7.49,13.41
7152487.0,6678055.0,2.11,717.61
1312991.0,3780893.0,1.81,100.71
882600.0,4231277.0,1.83,74.38
5463690.0,3812412.0,4.81,60.15
7401031.0,4764074.0,6.17,61.84
6522939.0,6701192.0,2.76,382.68
9289315.0,662820.0,9.99,4.12
739827.0,2034525.0,2.08,23.18
5796754.0,2403063.0,9.94,9.41
2085575.0,4688981.0,5.29,23.32
5732881.0,8955464.0,7.76,56.9
9182976.0,8133190.0,5.33,175.2
3488929.0,6055364.0,2.65,200.0
9367654.0,4967115.0,5.41,106.0
4609941.0,2039005.0,5.67,19.54
5453234.0,6488528.0,7.31,44.22
2115026.0,8733987.0,8.01,19.21
2583648.0,7242628.0,3.2,121.97
5393035.0,7384735.0,6.52,62.44
1023486.0,4486218.0,9.3,3.54
5982612.0,9926919.0,5.76,119.43
7020756.0,7349537.0,5.32,121.78
8583882.0,4955165.0,4.29,154.48
556312.0,1911237.0,0.73,134.41
5133261.0,7273824.0,0.99,2518.56
1700329.0,1077682.0,8.75,1.6
6022398.0,9526018.0,1.53,1639.13
6519150.0,3540929.0,4.76,68.03
6570160.0,536784.0,0.86,319.54
4539253.0,3434507.0,2.62,151.29
5636159.0,4645339.0,5.37,60.55
1064950.0,6116754.0,3.59,33.69
9884431.0,9858380.0,0.27,88541.27
6043771.0,2006656.0,7.66,13.8
6581461.0,2157860.0,8.48,13.19
5472130.0,8211077.0,7.91,47.94
1275275.0,3093256.0,1.05,236.73
288232.0,1820771.0,1.88,9.95
4753364.0,934408.0,7.9,4.75
8587277.0,4479551.0,3.78,179.34
5335651.0,7415680.0,7.4,48.26
4050922.0,8118757.0,3.41,189.27
5328699.0,2118341.0,3.84,51.17
7917086.0,7086239.0,7.55,65.74
315761.0,2138320.0,5.07,1.75
5975855.0,3725899.0,2.7,203.65
5837016.0,2096553.0,8.68,10.85
4085482.0,9586927.0,7.5,46.4
8486074.0,7707884.0,9.56,47.71
422736.0,1105854.0,1.52,13.57
1730916.0,1656254.0,8.11,2.91
8651090.0,4520506.0,5.63,82.41
3403559.0,1021308.0,1.52,100.19
7508292.0,6259700.0,2.44,527.51
2018209.0,8837814.0,0.39,7658.31
7300532.0,3629672.0,4.62,82.73
8823388.0,7478538.0,9.01,54.24
5926563.0,1486791.0,2.45,98.3
9387039.0,1299713.0,5.64,25.55
3300337.0,8637777.0,0.15,87616.05
8064393.0,9179364.0,6.96,102.1
6769098.0,1813429.0,7.68,13.9
1769454.0,9652985.0,0.72,2174.86
8991185.0,2405754.0,3.02,158.05
2190369.0,3853472.0,8.72,7.41
3595485.0,9487167.0,0.42,12884.48
8251456.0,228132.0,5.83,3.7
2129343.0,7675965.0,9.76,11.45
1484744.0,6784468.0,2.74,89.65
7057224.0,3200657.0,8.97,18.74
3741764.0,6024174.0,6.97,30.94
609646.0,753402.0,2.29,5.84
5848599.0,6694338.0,3.51,211.65
6542113.0,1589340.0,1.64,259.43
96725.0,8916273.0,0.63,145.98
